section Arc ahead  
section amcl_linear_Y_ahead  
W_X 11.2602 W_Y -0.0117354  A  -175.43 All_adjust1  -0.05 flag_plus 0 OX 11.8173 O_Y -0.305052 
W_X 11.2357 W_Y -0.0136965  A  -175.43 All_adjust1  0.00547878 flag_plus 0 OX 11.5242 O_Y -0.341714 
W_X 11.2112 W_Y -0.0156579  A  -175.43 All_adjust1  -0.0121375 flag_plus 0 OX 11.4998 O_Y -0.344719 
W_X 11.1866 W_Y -0.0176194  A  -175.43 All_adjust1  -0.0135105 flag_plus 0 OX 11.4753 O_Y -0.347724 
W_X 11.1607 W_Y -0.0189924  A  -175.88 All_adjust1  -0.0140244 flag_plus 0 OX 11.4498 O_Y -0.350862 
W_X 11.1308 W_Y -0.0138639  A  -175.662 All_adjust1  -0.00558741 flag_plus 0 OX 11.4232 O_Y -0.353933 
W_X 11.1032 W_Y -0.0139941  A  -175.317 All_adjust1  -0.0107154 flag_plus 0 OX 11.3966 O_Y -0.357186 
W_X 11.0487 W_Y -0.0184597  A  -176.297 All_adjust1  -0.0162948 flag_plus 0 OX 11.3423 O_Y -0.36419 
W_X 11.0209 W_Y -0.0202616  A  -176.105 All_adjust1  -0.014838 flag_plus 0 OX 11.3146 O_Y -0.367289 
W_X 10.9919 W_Y -0.0222308  A  -176.465 All_adjust1  -0.0167699 flag_plus 0 OX 11.2858 O_Y -0.370606 
W_X 10.963 W_Y -0.0240184  A  -176.465 All_adjust1  -0.0178563 flag_plus 0 OX 11.257 O_Y -0.373742 
W_X 10.9313 W_Y -0.0259749  A  -176.465 All_adjust1  -0.0193834 flag_plus 0 OX 11.2254 O_Y -0.377174 
W_X 10.8997 W_Y -0.0279314  A  -176.465 All_adjust1  -0.0207259 flag_plus 0 OX 11.1939 O_Y -0.380606 
W_X 10.8331 W_Y -0.0290227  A  -176.542 All_adjust1  -0.0208322 flag_plus 0 OX 11.1297 O_Y -0.387587 
W_X 10.7982 W_Y -0.0287995  A  -176.973 All_adjust1  -0.0198155 flag_plus 0 OX 11.0965 O_Y -0.391198 
W_X 10.7638 W_Y -0.0306192  A  -177.203 All_adjust1  -0.0228521 flag_plus 0 OX 11.0622 O_Y -0.394703 
W_X 10.7288 W_Y -0.0323287  A  -177.383 All_adjust1  -0.0236382 flag_plus 0 OX 11.0274 O_Y -0.398126 
W_X 10.6922 W_Y -0.0340025  A  -177.383 All_adjust1  -0.0248003 flag_plus 0 OX 10.9909 O_Y -0.401593 
W_X 10.6555 W_Y -0.035676  A  -177.557 All_adjust1  -0.0259772 flag_plus 0 OX 10.9544 O_Y -0.40506 
W_X 10.6189 W_Y -0.0372383  A  -177.731 All_adjust1  -0.0269865 flag_plus 0 OX 10.9179 O_Y -0.408416 
W_X 10.5385 W_Y -0.0305314  A  -178.396 All_adjust1  -0.0160248 flag_plus 0 OX 10.8405 O_Y -0.415294 
W_X 10.4976 W_Y -0.0265104  A  -178.763 All_adjust1  -0.0165744 flag_plus 0 OX 10.8013 O_Y -0.418432 
W_X 10.4571 W_Y -0.0273844  A  -179.03 All_adjust1  -0.0204767 flag_plus 0 OX 10.7609 O_Y -0.421457 
W_X 10.4161 W_Y -0.0280793  A  -179.03 All_adjust1  -0.0200438 flag_plus 0 OX 10.72 O_Y -0.424333 
W_X 10.3745 W_Y -0.0287833  A  -179.29 All_adjust1  -0.0205722 flag_plus 0 OX 10.6785 O_Y -0.427247 
W_X 10.3307 W_Y -0.027639  A  -179.646 All_adjust1  -0.0183649 flag_plus 0 OX 10.6354 O_Y -0.43008 
W_X 10.286 W_Y -0.0234192  A  179.963 All_adjust1  -0.0133695 flag_plus 0 OX 10.5923 O_Y -0.432661 
W_X 10.1995 W_Y -0.0231389  A  179.563 All_adjust1  -0.0166593 flag_plus 0 OX 10.506 O_Y -0.437319 
W_X 10.1546 W_Y -0.0227965  A  179.395 All_adjust1  -0.0157423 flag_plus 0 OX 10.4612 O_Y -0.439425 
W_X 10.1087 W_Y -0.0223118  A  179.147 All_adjust1  -0.0153047 flag_plus 0 OX 10.4153 O_Y -0.441447 
W_X 10.0622 W_Y -0.0216194  A  178.806 All_adjust1  0.00294543 flag_plus 1 OX 10.3688 O_Y -0.443293 
W_X 10.0148 W_Y -0.017769  A  178.771 All_adjust1  0.00384253 flag_plus 2 OX 10.3218 O_Y -0.444882 
W_X 9.96758 W_Y -0.0147067  A  178.747 All_adjust1  0.00487759 flag_plus 3 OX 10.2748 O_Y -0.44647 
section back liner  
W_X 9.32087 W_Y 0.00627788  A  178.853 All_adjust1  0.0198529 flag_plus 0 OX 10.1769 O_Y -0.449778 
W_X 9.2711 W_Y 0.00727428  A  178.853 All_adjust1  0.00249172 flag_plus 0 OX 9.57998 O_Y -0.471447 
